Nem Lula nem o partido ainda encontraram um discurso para se diferenciar.	Nem Lula nem o partido ainda encontraram um discurso para se diferenciar .	expl
A coreografia de Susan Marshall que o Ballet de Lyon dança hoje chama-se Central Figure, com música de Philip Glass.	A coreografia de Susan Marshall que o Ballet de Lyon dança hoje chama se Central Figure , com música de Philip Glass .	expl
Inspira-se no mais antigo e melhor bailarino de minha companhia, que morreu no último verão, ela diz.	Inspira se em o mais antigo e melhor bailarino de minha companhia , que morreu em o último verão , ela diz .	expl
Os irmãos Gershwin eram tão diferentes que se completavam às maravilhas.	Os irmãos Gershwin eram tão diferentes que se completavam a as maravilhas .	expl
Às vezes sugeria a George uma mudança no andamento, para que este se adequasse melhor à letra.	A as vezes sugeria a George uma mudança em o andamento , para que este se adequasse melhor a a letra .	expl
Um caso típico foi o de Someone to Watch Over Me (1926), que nasceu brejeira e Ira recomendou que ela se tornasse uma balada romântica.	Um caso típico foi o de Someone to Watch Over Me ( 1926 ) , que nasceu brejeira e Ira recomendou que ela se tornasse uma balada romântica .	expl
Notamos ainda que, quando um passageiro brasileiro se inscreve num programa de milhagem de uma companhia aérea internacional que serve o Brasil, passados 30 dias, recebe a proposta da Iapa.	Notamos ainda que , quando um passageiro brasileiro se inscreve em um programa de milhagem de uma companhia aérea internacional que serve o Brasil , passados 30 dias , recebe a proposta de a Iapa .	expl
Segundo a tesoureira da campanha de Lula, Tatau Godinho, os custos se resumem à passagem aérea, já que o candidato ficou hospedado na casa do embaixador do Brasil na África do Sul, Antônio Amaral de Sampaio.	Segundo a tesoureira de a campanha de Lula , Tatau Godinho , os custos se resumem a a passagem aérea , já que o candidato ficou hospedado em a casa de o embaixador de o Brasil em a África de o Sul , Antônio Amaral de Sampaio .	expl
Quando a gente se diz engajado, corre o risco de evocar modelos anteriores e o engajamento hoje deve encontrar formas novas.	Quando a gente se diz engajado , corre o risco de evocar modelos anteriores e o engajamento hoje deve encontrar formas novas .	expl
O técnico irritou-se com uma pergunta e não a respondeu.	O técnico irritou se com uma pergunta e não a respondeu .	expl
A pergunta: Se o Brasil repetir a atuação de hoje conseguirá vencer a Holanda na terceira fase (quartas-de-final)?	A pergunta : Se o Brasil repetir a atuação de hoje conseguirá vencer a Holanda em a terceira fase ( quartas-de-final ) ?	mark
Amaral disse ainda que esse aumento de importações decorre do aumento da demanda que se exerce sobre toda a oferta de produtos.	Amaral disse ainda que esse aumento de importações decorre de o aumento de a demanda que se exerce sobre toda a oferta de produtos .	expl
Esses são os anos em que Elvis deixou de ser o rei do rocknroll para tornar-se o símbolo pré-fabricado de uma geração que sonhava com Honolulu e pracinhas.	Esses são os anos em que Elvis deixou de ser o rei de o rocknroll para tornar se o símbolo pré-fabricado de uma geração que sonhava com Honolulu e pracinhas .	expl
E é justamente por isso que não se deve parar, preparando terreno ao futuro presidente.	E é justamente por isso que não se deve parar , preparando terreno a o futuro presidente .	nsubj
Além de aumentar o número de cassações, deve-se estimular as demais CPIs sobre Empreiteiras, financiamentos eleitorais e CUT - a CPI da CUT terá o dom de trazer à tona possíveis desvios da burocracia e da praga do corporativismo, o que, acreditem, vai acabar ajudando não apenas o PT mas a democracia.	Além de aumentar o número de cassações , deve se estimular as demais CPIs sobre Empreiteiras , financiamentos eleitorais e CUT a CPI de a CUT terá o dom de trazer a a tona possíveis desvios de a burocracia e de a praga de o corporativismo , o que , acreditem , vai acabar ajudando não apenas o PT mas a democracia .	nsubj
Mas a roubalheira é apenas a ponta do lamaçal: o problema essencial, a grande delinquência, é a baixa taxa de seriedade e compromisso dos homens públicos, responsável por estarmos atolados em níveis jamais vistos de miséria e violência e, como diz o salmo, é aí que não se pode estar em pé.	Mas a roubalheira é apenas a ponta de o lamaçal : o problema essencial , a grande delinquência , é a baixa taxa de seriedade e compromisso de os homens públicos , responsável por estarmos atolados em níveis jamais vistos de miséria e violência e , como diz o salmo , é aí que não se pode estar em pé .	nsubj
Se Roseana, os senadores, deputados e prefeitos estão me apoiando não é porque tenhamos firmado qualquer compromisso pessoal.	Se Roseana , os senadores , deputados e prefeitos estão me apoiando não é porque tenhamos firmado qualquer compromisso pessoal .	mark
E assim, aos 2,5 milhões que o Ministério do Planeamento e Administração do Território já gasta no pagamento do pessoal afecto a estes organismos, vêm juntar-se os montantes das obras propriamente ditas, que os municípios, já com projectos na mão, vêm reivindicar junto do Executivo, como salienta aquele membro do Governo.	E assim , a os 2,5 milhões que o Ministério de o Planeamento e Administração de o Território já gasta em o pagamento de o pessoal afecto a estes organismos , vêm juntar se os montantes de as obras propriamente ditas , que os municípios , já com projectos em a mão , vêm reivindicar junto de o Executivo , como salienta aquele membro de o Governo .	obj
E o dinheiro não falta só às câmaras, lembra o secretário de Estado, que considera que a solução para as autarquias é especializarem-se em fundos comunitários.	E o dinheiro não falta só a as câmaras , lembra o secretário de Estado , que considera que a solução para as autarquias é especializarem se em fundos comunitários .	obj
Mas como, se muitas não dispõem, nos seus quadros, dos técnicos necessários?	Mas como , se muitas não dispõem , em os seus quadros , de os técnicos necessários ?	mark
Encomendem-nos a projectistas de fora porque, se as obras vierem a ser financiadas, eles até saem de graça, já que, nesse caso, os fundos comunitários pagam os projectos, o mesmo não acontecendo quando eles são feitos pelos GAT, dado serem organismos do Estado.	Encomendem nos a projectistas de fora porque , se as obras vierem a ser financiadas , eles até saem de graça , já que , em esse caso , os fundos comunitários pagam os projectos , o mesmo não acontecendo quando eles são feitos por os GAT , dado serem organismos de o Estado .	mark
Os quatro primeiros temas destinam-se a mostrar o papel de Portugal no mundo e o quinto, o único sem relação com a história nacional, é justificado pela experiência de Barcelona (Port Aventura), que regista assinalável sucesso.	Os quatro primeiros temas destinam se a mostrar o papel de Portugal em o mundo e o quinto , o único sem relação com a história nacional , é justificado por a experiência de Barcelona ( Port Aventura ) , que regista assinalável sucesso .	expl
Uma zona petting anexa, em cooperação com o Jardim Zoológico de Lisboa, destina-se a permitir o contacto das crianças com animais.	Uma zona petting anexa , em cooperação com o Jardim Zoológico de Lisboa , destina se a permitir o contacto de as crianças com animais .	expl
Para tal, referiu aquele responsável, foram montadas mais estruturas, mais zonas estão abrangidas e, por isso, mais pessoas se podem candidatar.	Para tal , referiu aquele responsável , foram montadas mais estruturas , mais zonas estão abrangidas e , por isso , mais pessoas se podem candidatar .	expl
A aumentar a confusão geral nos meios jornalísticos, chegou entretanto às redacções um outro fax, este assinado pelo deputado Pacheco Pereira, em que se afirma:	A aumentar a confusão geral em os meios jornalísticos , chegou entretanto a as redacções um outro fax , este assinado por o deputado Pacheco Pereira , em que se afirma :	nsubj
(Há quem defenda, no entanto, que se trata de um fax apócrifo, realmente escrito pelo deputado José Magalhães, o qual teria, aliás, imitado a letra do ex-deputado António Barreto.	( Há quem defenda , em o entanto , que se trata de um fax apócrifo , realmente escrito por o deputado José Magalhães , o qual teria , aliás , imitado a letra de o ex-deputado António Barreto .	expl
O jogo chegou a estar complicado para a equipa de Paulo Autuori, essencialmente porque o Lokomotiv marcou muito cedo (8) e os jogadores portugueses não conseguiam adaptar-se ao estado do relvado.	O jogo chegou a estar complicado para a equipa de Paulo Autuori , essencialmente porque o Lokomotiv marcou muito cedo ( 8 ) e os jogadores portugueses não conseguiam adaptar se a o estado de o relvado .	obj
Tal como na última final do Campeonato do Mundo, disputada em Nova Iorque e Lion, Kasparov tenta apresentar-se como o bom reformador contra o mau conservador (Karpov).	Tal como em a última final de o Campeonato de o Mundo , disputada em Nova Iorque e Lion , Kasparov tenta apresentar se como o bom reformador contra o mau conservador ( Karpov ) .	obj
Quanto ao jogo, ele dividiu-se em dois períodos distintos: antes e depois da expulsão de Sérgio.	Quanto a o jogo , ele dividiu se em dois períodos distintos : antes e depois de a expulsão de Sérgio .	obj
Antes, o Leixões marcou um golo, por intermédio de Maurício, na sequência de um canto apontado por Barriga, e foi a equipa que melhor se adaptou às condições do terreno.	Antes , o Leixões marcou um golo , por intermédio de Maurício , em a sequência de um canto apontado por Barriga , e foi a equipa que melhor se adaptou a as condições de o terreno .	expl
Mas convencionou-se que esta sua deslocação de três dias, para presidir ao Encontro dos Jovens em Czestochawa, seria considerado um complemento ainda da sua recente viagem à Polónia, de 1 a 9 de Junho passado.	Mas convencionou se que esta sua deslocação de três dias , para presidir a o Encontro de os Jovens em Czestochawa , seria considerado um complemento ainda de a sua recente viagem a a Polónia , de 1 a 9 de Junho passado .	nsubj
Eu tentei, o senhor Vance tentou, se for respeitado, urrah!, comentou.	Eu tentei , o senhor Vance tentou , se for respeitado , urrah ! , comentou .	mark
Mas se falhar?	Mas se falhar ?	mark
Registe-se que a terça-feira de Carnaval não é um feriado legal, mas tão-só tradicional: ou seja, todos os anos o primeiro-ministro tem que produzir um despacho, publicado em Diário da República, em que decreta a tolerância de ponto.	Registe se que a terça-feira de Carnaval não é um feriado legal , mas tão-só tradicional : ou seja , todos os anos o primeiro-ministro tem que produzir um despacho , publicado em Diário de a República , em que decreta a tolerância de ponto .	expl
Este ano, eventualmente condicionado pela polémica que o opõe ao Presidente da República em torno dos feriados (recorde-se que Soares enviou a lei para o Tribunal Constitucional) Cavaco decidiu, pura e simplesmente, acabar com a terça-feira de Carnaval.	Este ano , eventualmente condicionado por a polémica que o opõe a o Presidente de a República em torno de os feriados ( recorde se que Soares enviou a lei para o Tribunal Constitucional ) Cavaco decidiu , pura e simplesmente , acabar com a terça-feira de Carnaval .	expl
Aliás, era contra as terças-feiras, propiciadoras de sugestivas pontes, que a lei governamental mais se batia ...	Aliás , era contra as terças-feiras , propiciadoras de sugestivas pontes , que a lei governamental mais se batia ...	expl
Facto que, ao longo do tempo, foi repetidamente denunciado, tanto pelos partidos da oposição (onde se destacaram o PCP e o PS), como pelo Conselho de Fiscalização dos Serviços de Informações nomeado pela AR.	Facto que , a o longo de o tempo , foi repetidamente denunciado , tanto por os partidos de a oposição ( onde se destacaram o PCP e o PS ) , como por o Conselho de Fiscalização de os Serviços de Informações nomeado por a AR.	expl
O certo é que, pouco depois, Vítor-Emanuel apercebeu-se que um barco pneumático fora deslocado do seu iate e atracado ao Cocke, o navio dos jovens italianos.	O certo é que , pouco depois , Vítor-Emanuel apercebeu se que um barco pneumático fora deslocado de o seu iate e atracado a o Cocke , o navio de os jovens italianos .	expl
Irritado com este acto de apropriação, foi buscar uma espingarda US 30 semiautomática, utilizada em safaris, e 31 cartuchos, e dirigiu-se para o Cocke.	Irritado com este acto de apropriação , foi buscar uma espingarda US 30 semiautomática , utilizada em safaris , e 31 cartuchos , e dirigiu se para o Cocke .	obj
Na confusão que se segue, parte um primeiro tiro, depois um segundo, e os dois homens caem ao mar.	Em a confusão que se segue , parte um primeiro tiro , depois um segundo , e os dois homens caem a o mar .	expl
Uma equipa daquela organização encontra-se desde sexta-feira passada na região para examinar as vítimas e colher amostras.	Uma equipa de aquela organização encontra se desde sexta-feira passada em a região para examinar as vítimas e colher amostras .	expl
Recomenda-se ainda às pessoas que não toquem com as mãos nuas nem nos doentes nem nos mortos e que evitem o contacto com o seu sangue, vómitos e excrementos.	Recomenda se ainda a as pessoas que não toquem com as mãos nuas nem em os doentes nem em os mortos e que evitem o contacto com o seu sangue , vómitos e excrementos .	nsubj
Lá vai Dolores Faísca ver o que se passa à porta do Nacofino.	Lá vai Dolores Faísca ver o que se passa a a porta de o Nacofino .	expl
Cá dentro ninguém se apercebe de que um teimoso ébrio quer impor a sua presença.	Cá dentro ninguém se apercebe de que um teimoso ébrio quer impor a sua presença .	expl
O homem insiste, meio zonzo, a patroa não cede e ele acaba por ir-se em grande dificuldade.	O homem insiste , meio zonzo , a patroa não cede e ele acaba por ir se em grande dificuldade .	obj
Acaba por se lançar à estrada dos Quatro Caminhos rumo a Quarteira, sem temer o balão que agora transforma sopros em cadeia.	Acaba por se lançar a a estrada de os Quatro Caminhos rumo a Quarteira , sem temer o balão que agora transforma sopros em cadeia .	expl
Assim, está a registar-se um abrandamento na procura com a consequente queda das cotações.	Assim , está a registar se um abrandamento em a procura com a consequente queda de as cotações .	expl
A Comissão Europeia considerou ontem politicamente inoportuno avançar com uma proposta de harmonização dos impostos sobre os produtos energéticos que, a concretizar-se, poderia provocar um aumento do gasóleo em Portugal de quase 25 escudos em 2002.	A Comissão Europeia considerou ontem politicamente inoportuno avançar com uma proposta de harmonização de os impostos sobre os produtos energéticos que , a concretizar se , poderia provocar um aumento de o gasóleo em Portugal de quase 25 escudos em 2002 .	expl
Neste sistema, a recolha far-se-á uma vez por semana para os materiais orgânicos e três por semana para os restantes resíduos domésticos.	Em este sistema , a recolha fará se uma vez por semana para os materiais orgânicos e três por semana para os restantes resíduos domésticos .	expl
Ao mesmo tempo, irá manter-se a recolha indiferenciada tal como hoje a conhecemos.	Ao mesmo tempo , irá manter se a recolha indiferenciada tal como hoje a conhecemos .	expl
Este sistema de recolha adequa-se a edifícios baixos, com poucos pisos.	Este sistema de recolha adequa se a edifícios baixos , com poucos pisos .	expl
Para muitos analistas o verdadeiro problema é o facto de não se poder falar do desenvolvimento da economia palestiniana como um facto isolado, porque ele só faz sentido integrado no desenvolvimento de todo o Médio Oriente.	Para muitos analistas o verdadeiro problema é o facto de não se poder falar de o desenvolvimento de a economia palestiniana como um facto isolado , porque ele só faz sentido integrado em o desenvolvimento de todo o Médio Oriente .	nsubj
E aí colocam-se novas dúvidas:	E aí colocam se novas dúvidas :	expl
que tipo de relação económica se poderá estabelecer entre Israel e os seus vizinhos árabes?	que tipo de relação económica se poderá estabelecer entre Israel e os seus vizinhos árabes ?	nsubj
Outra das apostas é o turismo, esperando-se dois milhões de visitantes por ano e a criação de 30 mil a 50 mil postos de emprego.	Outra de as apostas é o turismo , esperando se dois milhões de visitantes por ano e a criação de 30 mil a 50 mil postos de emprego .	nsubj
Dizia-se que o Carlos Resende e o Filipe Cruz podiam ir para a Alemanha e o Carlos Galambas e o Álvaro Martins para o Benfica, mas é mentira.	Dizia se que o Carlos Resende e o Filipe Cruz podiam ir para a Alemanha e o Carlos Galambas e o Álvaro Martins para o Benfica , mas é mentira .	nsubj
Acho que o FC Porto só tem de se preocupar com o Sporting, não pensamos em mais nada.	Acho que o FC Porto só tem de se preocupar com o Sporting , não pensamos em mais nada .	expl
Nunca dei uma lição na vida, mas tenho pena, porque penso que se aprende muito a ensinar.	Nunca dei uma lição em a vida , mas tenho pena , porque penso que se aprende muito a ensinar .	nsubj
No lado das subidas, destaca-se ainda o comportamento do Banco Totta & Açores que, ao contrário dos restantes títulos do sector bancário, encerrou a ganhar 3,41 por cento.	Em o lado de as subidas , destaca se ainda o comportamento de o Banco Totta & Açores que , a o contrário de os restantes títulos de o sector bancário , encerrou a ganhar 3,41 por cento .	expl
Alguma coisa se passa à volta deste papel.	Alguma coisa se passa a a volta de este papel .	expl
Em Janeiro de 1994, noticiava-se a introdução na Alemanha de um supercomputador que regista as impressões digitais dos candidatos a asilo político, para tentar detectar fraudes nos subsídios da segurança social.	Em Janeiro de 1994 , noticiava se a introdução em a Alemanha de um supercomputador que regista as impressões digitais de os candidatos a asilo político , para tentar detectar fraudes em os subsídios de a segurança social .	nsubj
Agora, a polícia inclina-se para que o assassinato tenha a ver com a promoção de John Gotti Junior ao cargo de chefe da família durante o encarceramento do pai.	Agora , a polícia inclina se para que o assassinato tenha a ver com a promoção de John Gotti Junior a o cargo de chefe de a família durante o encarceramento de o pai .	obj
Eduardo dos Santos, presidente do MPLA, e Jonas Savimbi, dirigente da Unita, encontram-se na cidade do Bié em actividades ligadas à campanha eleitoral de Setembro	Eduardo de os Santos , presidente de o MPLA , e Jonas Savimbi , dirigente de a Unita , encontram se em a cidade de o Bié em actividades ligadas a a campanha eleitoral de Setembro	obj
Bush só poderá ganhar as eleições presidenciais se fizer cair Saddam Hussein, vaticinam os analistas políticos.	Bush só poderá ganhar as eleições presidenciais se fizer cair Saddam Hussein , vaticinam os analistas políticos .	mark
O Presidente cancela todos os compromissos e fecha-se na Casa Branca.	O Presidente cancela todos os compromissos e fecha se em a Casa Branca .	obj
Quando Guímaro foi detido, na sequência de um processo desencadeado com base em denúncias anónimas feitas para a Federação Portuguesa de Futebol e Polícia Judiciária, desde logo se levantou uma questão:	Quando Guímaro foi detido , em a sequência de um processo desencadeado com base em denúncias anónimas feitas para a Federação Portuguesa de Futebol e Polícia Judiciária , desde logo se levantou uma questão :	nsubj
se Guímaro era corrupto, quem eram os corruptores e porque motivo não foram igualmente presentes ao juiz do Tribunal de Instrução Criminal?	se Guímaro era corrupto , quem eram os corruptores e porque motivo não foram igualmente presentes a o juiz de o Tribunal de Instrução Criminal ?	mark
que jogos, que programas, que enciclopédias, que sites na Internet se podem fazer que traduzam o título do workshop?	que jogos , que programas , que enciclopédias , que sites em a Internet se podem fazer que traduzam o título de o workshop ?	expl
Poder-se-á tocar na realidade virtual, embora seja um objectivo a longo prazo.	Poderá se tocar em a realidade virtual , embora seja um objectivo a longo prazo .	nsubj
Mas é essa a ideia: para já promover este encontro, reunir ideias, depois se resultar material começar a incorporá-lo e dar forma a um site que tem sede simbólica em Sagres.	Mas é essa a ideia : para já promover este encontro , reunir ideias , depois se resultar material começar a incorporá lo e dar forma a um site que tem sede simbólica em Sagres .	mark
No quiosque vendem-se dessas revistas de viagens que agora proliferam e que perpetuam as fantasias sobre ilhas exóticas.	Em o quiosque vendem se de essas revistas de viagens que agora proliferam e que perpetuam as fantasias sobre ilhas exóticas .	expl
A cimeira sindical ibérica já não deverá realizar-se este ano, segundo apurou o PÚBLICO.	A cimeira sindical ibérica já não deverá realizar se este ano , segundo apurou o PÚBLICO .	expl
Na Europa Ocidental tem-se assistido a uma queda acentuada da fecundidade, o que fez surgir o problema da não substituição das gerações.	Em a Europa Ocidental tem se assistido a uma queda acentuada de a fecundidade , o que fez surgir o problema de a não substituição de as gerações .	nsubj
Se isso fica uma vez mais reiterado em Memoribilia, a compilação dos seus êxitos a solo e nos Soft Cell, que parcialmente regravou para o efeito, também é visível que nos respectivos novos vídeos colados às antigas canções qualquer coisa mudou em Almond.	Se isso fica uma vez mais reiterado em Memoribilia , a compilação de os seus êxitos a solo e em os Soft Cell , que parcialmente regravou para o efeito , também é visível que em os respectivos novos vídeos colados a as antigas canções qualquer coisa mudou em Almond .	mark
O exemplo paradigmático é Say hello and Wave Goodbye, cujo primeiro clip consistia numa verdadeira orgia de excessos e que agora é substituído por um teledisco de um romantismo asseado repleto de modelos em câmara lenta, que mais se tende a ligar aos dessexuados Black ou Don Henley.	O exemplo paradigmático é Say hello and Wave Goodbye , cujo primeiro clip consistia em uma verdadeira orgia de excessos e que agora é substituído por um teledisco de um romantismo asseado repleto de modelos em câmara lenta , que mais se tende a ligar a os dessexuados Black ou Don Henley .	nsubj
Em troca, assinava-se o contrato-promessa de compra e venda.	Em troca , assinava se o contrato-promessa de compra e venda .	nsubj
Entre as propostas mais ousadas, decidiu-se pedir ao Presidente da República que proponha um referendo sobre a Lei do Financiamento, desafiar as televisões a promoverem um debate entre o ministro da Educação e todos os dirigentes associativos, pintar de negro a sede da Direcção Regional de Educação do Centro e remeter envelopes com folhas de papel higiénico ao ministério.	Entre as propostas mais ousadas , decidiu se pedir a o Presidente de a República que proponha um referendo sobre a Lei de o Financiamento , desafiar as televisões a promoverem um debate entre o ministro de a Educação e todos os dirigentes associativos , pintar de negro a sede de a Direcção Regional de Educação de o Centro e remeter envelopes com folhas de papel higiénico a o ministério .	nsubj
E não seria mais útil que o dr. Soares que, enquanto primeiro-ministro, deixou a educação no caos que se conhece, dirigisse mensagens a lançar o debate sobre o que há a reformar no ensino, em vez de passar a vida a exigir uma televisão tão livre que Eduardo Moniz tenha liberdade para criticar toda a gente excepto .. o dr. Soares?	E não seria mais útil que o dr. Soares que , enquanto primeiro-ministro , deixou a educação em o caos que se conhece , dirigisse mensagens a lançar o debate sobre o que há a reformar em o ensino , em vez de passar a vida a exigir uma televisão tão livre que Eduardo Moniz tenha liberdade para criticar toda a gente excepto .. o dr. Soares ?	nsubj
... E, se o dr. Soares tivesse praticado desporto na escola, será que, hoje, pensaria da mesma maneira?	... E , se o dr. Soares tivesse praticado desporto em a escola , será que , hoje , pensaria de a mesma maneira ?	mark
Mas, para já ainda nem sequer é certo que vá ser construída uma nova fábrica, por isso não se pode falar no projecto VW para Portugal.	Mas , para já ainda nem sequer é certo que vá ser construída uma nova fábrica , por isso não se pode falar em o projecto VW para Portugal .	nsubj
Para o ministro, a decisão deverá ser tomada em meados de 1993 e, se a escolha recair sobre Portugal, essa será uma boa altura em termos de incentivos.	Para o ministro , a decisão deverá ser tomada em meados de 1993 e , se a escolha recair sobre Portugal , essa será uma boa altura em termos de incentivos .	mark
A Rússia, insensível aos protestos dos EUA e de Israel, já se tinha comprometido, no início do ano, a instalar naquele mesmo local um reactor de 1000 megawatts, num negócio avaliado em mil milhões de dólares.	A Rússia , insensível a os protestos de os EUA e de Israel , já se tinha comprometido , em o início de o ano , a instalar em aquele mesmo local um reactor de 1000 megawatts , em um negócio avaliado em mil milhões de dólares .	obj
Os New York Knicks venceram terça-feira no seu reduto os Chicago Bulls, por 96-91, passando a liderar, por 2-0, a final da Conferência Leste da Liga Norte-Americana de Basquetebol Profissional (NBA), que se disputa à melhor de sete encontros.	Os New York Knicks venceram terça-feira em o seu reduto os Chicago Bulls , por 96-91 , passando a liderar , por 2-0 , a final de a Conferência Leste de a Liga Norte-Americana de Basquetebol Profissional ( NBA ) , que se disputa a a melhor de sete encontros .	expl
O grupo de fotógrafos participantes encontra-se para um confronto pela diversidade não só de estilos, como de opções relativamente à construção de uma ideia da cidade.	O grupo de fotógrafos participantes encontra se para um confronto por a diversidade não só de estilos , como de opções relativamente a a construção de uma ideia de a cidade .	obj
Na hora de defrontar o Sporting, o Famalicão pode finalmente respirar aliviado com a notícia do regresso dos seus dois jogadores argelinos, Medane e Menad, que se ausentaram para disputar a Taça de Africa.	Em a hora de defrontar o Sporting , o Famalicão pode finalmente respirar aliviado com a notícia de o regresso de os seus dois jogadores argelinos , Medane e Menad , que se ausentaram para disputar a Taça de Africa .	expl
Com o regresso de Medane e Menad, o treinador jugoslavo do Famalicão tem à sua disposição todos os jogadores, com excepção do jovem Manuel José, que se encontra lesionado.	Com o regresso de Medane e Menad , o treinador jugoslavo de o Famalicão tem a a sua disposição todos os jogadores , com excepção de o jovem Manuel José , que se encontra lesionado .	expl
As personagens são cegos, atrozes e desconcertantes como nas fotografias de Sander, porque os cegos são pessoas que se dirigem incessantemente para um lugar interminável de onde não podem sair e onde nós nos sentimos gratos por não podermos entrar.	As personagens são cegos , atrozes e desconcertantes como em as fotografias de Sander , porque os cegos são pessoas que se dirigem incessantemente para um lugar interminável de onde não podem sair e onde nós em os sentimos gratos por não podermos entrar .	expl
O livro depois mudou, e os cegos tornaram-se personagens passionais, e obscenas na sua violência, esse livro depois de escrito continha tudo, o infinito, a transparência, o medo, as imagens do escuro, continha uma criança cega que não admitia não ver e inventava, e Josette que torturava ratos, uma mulher casada, um marido e um amante, e depois havia uma vingança.	O livro depois mudou , e os cegos tornaram se personagens passionais , e obscenas em a sua violência , esse livro depois de escrito continha tudo , o infinito , a transparência , o medo , as imagens de o escuro , continha uma criança cega que não admitia não ver e inventava , e Josette que torturava ratos , uma mulher casada , um marido e um amante , e depois havia uma vingança .	obj
Apaixonou-se por um cego que não era aluno dele.	Apaixonou se por um cego que não era aluno de ele .	obj
Também se tornou amigo do empregado da loja onde os cegos iam buscar vídeos.	Também se tornou amigo de o empregado de a loja onde os cegos iam buscar vídeos .	expl
É neste contexto que entre a indústria e a Direcção-Geral da Qualidade do Ambiente [DGQA] nunca se interromperam os contactos técnicos necessários à atempada informação sobre a evolução verificada no cumprimento do contrato-programa e que permitirão a continuação de uma abordagem responsável da questão para futuro.	É em este contexto que entre a indústria e a Direcção-Geral de a Qualidade de o Ambiente [ DGQA ] nunca se interromperam os contactos técnicos necessários a a atempada informação sobre a evolução verificada em o cumprimento de o contrato-programa e que permitirão a continuação de uma abordagem responsável de a questão para futuro .	expl
Se na primeira metada da década de 80 o balanço dos confrontos entre os dois eternos rivais era francamente equilibrado, na segunda metade da mesma década - excepção feita aos fabulosos 7-1 com que o Sporting venceu o Benfica na tarde de 14 de Dezembro de 1986, em Alvalade - os encarnados foram ganhando vantagem neste muito especial campeonato entre as equipas da Luz e de Alvalade.	Se em a primeira metada de a década de 80 o balanço de os confrontos entre os dois eternos rivais era francamente equilibrado , em a segunda metade de a mesma década excepção feita a os fabulosos 7-1 com que o Sporting venceu o Benfica em a tarde de 14 de Dezembro de 1986 , em Alvalade os encarnados foram ganhando vantagem em este muito especial campeonato entre as equipas de a Luz e de Alvalade .	mark
No que se refere às regras do jogo, considera que o futebol deve continuar a ser futebol.	Em o que se refere a as regras de o jogo , considera que o futebol deve continuar a ser futebol .	fixed
Não pondo em causa o direito dos clínicos de exigirem melhores condições remuneratórias e de trabalho, Maria Belém lembrou que, para se pedir mais dinheiro, temos de mostrar que fazemos mais e melhor.	Não pondo em causa o direito de os clínicos de exigirem melhores condições remuneratórias e de trabalho , Maria Belém lembrou que , para se pedir mais dinheiro , temos de mostrar que fazemos mais e melhor .	nsubj
Uma das mais prometedoras cantoras dos últimos anos, Cassandra usa um grão de voz e um jeito de desenhar e se apropriar do verso que tem raízes em Carmen McRae.	Uma de as mais prometedoras cantoras de os últimos anos , Cassandra usa um grão de voz e um jeito de desenhar e se apropriar de o verso que tem raízes em Carmen McRae .	expl
Parte-se depois para o debate.	Parte se depois para o debate .	nsubj
E Carlos Narciso junta a sua voz à daqueles que se surpreendem com o facto de Domingos Pereira, condenado a 15 anos pela morte da mulher, ter cumprido apenas seis.	E Carlos Narciso junta a sua voz a a de aqueles que se surpreendem com o facto de Domingos Pereira , condenado a 15 anos por a morte de a mulher , ter cumprido apenas seis .	expl
mas poderá concretizar-se mais depressa do que a sua antepassada, e, sendo distribuída e partilhada, a sua sobrevivência estará mais garantida.	mas poderá concretizar se mais depressa de o que a sua antepassada , e , sendo distribuída e partilhada , a sua sobrevivência estará mais garantida .	expl
José Eduardo dos Santos e Jonas Savimbi reúnem-se em Libreville, concordando que um Governo de Unidade e Reconciliação esteja formado até Junho ou Julho.	José Eduardo de os Santos e Jonas Savimbi reúnem se em Libreville , concordando que um Governo de Unidade e Reconciliação esteja formado até Junho ou Julho .	obj
Nos últimos meses ainda conseguiu escapar-se e ver Eu, Feuerbach, pelo Cendrev, em Évora, e A Ópera do Malandro, pelo Seiva Troupe, no Porto.	Em os últimos meses ainda conseguiu escapar se e ver Eu , Feuerbach , por o Cendrev , em Évora , e A Ópera de o Malandro , por o Seiva Troupe , em o Porto .	obj
Os britânicos advogam que a substânca em questão, o ciclamato 30 vezes mais doce do que o açúcar não é seguro para o ser humano e ameaçam vetar uma lei sobre a segurança alimentar, que os ministros do comércio da CEE estão a discutir, se o produto não for proibido.	Os britânicos advogam que a substânca em questão , o ciclamato 30 vezes mais doce de o que o açúcar não é seguro para o ser humano e ameaçam vetar uma lei sobre a segurança alimentar , que os ministros de o comércio de a CEE estão a discutir , se o produto não for proibido .	mark
Abraça-se ao irmão, que ficou em 8º lugar.	Abraça se a o irmão , que ficou em 8º lugar .	obj
Ganhei a medalha de prata, diz-lhe ofegante, mas logo se recusa a acreditar na realidade.	Ganhei a medalha de prata , diz lhe ofegante , mas logo se recusa a acreditar em a realidade .	expl
Só quando Moniz Pereira lhe surge na frente, se compenetra de que era mesmo verdade.	Só quando Moniz Pereira lhe surge em a frente , se compenetra de que era mesmo verdade .	expl
Metade do Orçamento destina-se a despesas correntes, suscitando criticas da oposição, que as consideram exageradas, nomeadamente as despesas com pessoal (mais de um milhão de contos).	Metade de o Orçamento destina se a despesas correntes , suscitando criticas de a oposição , que as consideram exageradas , nomeadamente as despesas com pessoal ( mais de um milhão de contos ) .	expl
