,0
"Mas convencionou-se que esta sua deslocação de três dias, para presidir ao Encontro dos Jovens em Czestochawa, seria considerado um complemento ainda da sua recente viagem à Polónia, de 1 a 9 de Junho passado.",nsubj
"Eu tentei, o senhor Vance tentou, se for respeitado, urrah!», comentou.",mark
Mas se falhar?,mark
Sabe-se lá o que pode acontecer na Bósnia se o acordo falhar ..»,mark
"Registe-se que a terça-feira de Carnaval não é um feriado legal, mas tão-só «tradicional»: ou seja, todos os anos o primeiro-ministro tem que produzir um despacho, publicado em «Diário da República», em que decreta a tolerância de ponto.",expl
"Este ano, eventualmente condicionado pela polémica que o opõe ao Presidente da República em torno dos feriados (recorde-se que Soares enviou a lei para o Tribunal Constitucional) Cavaco decidiu, pura e simplesmente, «acabar» com a terça-feira de Carnaval.",expl
"Aliás, era contra as «terças-feiras», propiciadoras de sugestivas «pontes», que a lei governamental mais se batia ...",expl
"Com argumentos economicistas e de operacionalidade, o Executivo de Cavaco Silva sempre se escusou a concretizar o SIED, cujas competências foram, entretanto, transferidas para o SIM (Serviços de Informações Militares), por via de um polémico acto administrativo do Governo, que assim chamava a si matérias da exclusiva competência da AR.",obj
"Facto que, ao longo do tempo, foi repetidamente denunciado, tanto pelos partidos da oposição (onde se destacaram o PCP e o PS), como pelo Conselho de Fiscalização dos Serviços de Informações nomeado pela AR.",expl
"O certo é que, pouco depois, Vítor-Emanuel apercebeu-se que um barco pneumático fora deslocado do seu iate e atracado ao Cocke, o navio dos jovens italianos.",expl
"«Irritado com este acto de apropriação», foi buscar uma espingarda US 30 semiautomática, utilizada em safaris, e 31 cartuchos, e dirigiu-se para o Cocke.",obj
"Na confusão que se segue, parte um primeiro tiro, depois um segundo, e os dois homens caem ao mar.",expl
Uma equipa daquela organização encontra-se desde sexta-feira passada na região para examinar as vítimas e colher amostras.,expl
"Recomenda-se ainda às pessoas que não toquem com as mãos nuas nem nos doentes nem nos mortos e que evitem o contacto com o seu sangue, vómitos e excrementos.",nsubj
Lá vai Dolores Faísca ver o que se passa à porta do Nacofino.,expl
Cá dentro ninguém se apercebe de que um teimoso ébrio quer impor a sua presença.,expl
"O homem insiste, meio zonzo, a patroa não cede e ele acaba por ir-se em grande dificuldade.",obj
"Acaba por se lançar à estrada dos Quatro Caminhos rumo a Quarteira, sem temer o «balão» que agora transforma sopros em cadeia.",expl
"Assim, está a registar-se um abrandamento na procura com a consequente queda das cotações.",expl
"A Comissão Europeia considerou ontem «politicamente inoportuno» avançar com uma proposta de harmonização dos impostos sobre os produtos energéticos que, a concretizar-se, poderia provocar um aumento do gasóleo em Portugal de quase 25 escudos em 2002.",expl
"Neste sistema, a recolha far-se-á «uma vez por semana para os materiais orgânicos e três por semana para os restantes resíduos domésticos».",expl
"Ao mesmo tempo, irá manter-se a recolha indiferenciada tal como hoje a conhecemos.",expl
"Este sistema de recolha adequa-se a edifícios baixos, com poucos pisos.",expl
"Para muitos analistas o verdadeiro problema é o facto de não se poder falar do desenvolvimento da economia palestiniana como um facto isolado, porque ele só faz sentido integrado no desenvolvimento de todo o Médio Oriente.",nsubj
E aí colocam-se novas dúvidas:,expl
que tipo de relação económica se poderá estabelecer entre Israel e os seus vizinhos árabes?,nsubj
"Outra das apostas é o turismo, esperando-se dois milhões de visitantes por ano e a criação de 30 mil a 50 mil postos de emprego.",nsubj
"Dizia-se que o Carlos Resende e o Filipe Cruz podiam ir para a Alemanha e o Carlos Galambas e o Álvaro Martins para o Benfica, mas é mentira.",nsubj
"«Acho que o FC Porto só tem de se preocupar com o Sporting, não pensamos em mais nada.",expl
"Nunca dei uma lição na vida, mas tenho pena, porque penso que se aprende muito a ensinar.",nsubj
"«A conveniência desta rua é palpável; uma cómoda estrada desobstruída de tortuosidades e declives, desde a Foz ao coração da cidade, especialmente para seges e carros, o que até aqui mal se consegue antes de chegar ao sítio do banco de S. Domingos [ leia-se o Banco Comercial do Porto, que fora fundado poucos anos antes e detinha autorização para emitir notas ]».",expl
"No lado das subidas, destaca-se ainda o comportamento do Banco Totta & Açores que, ao contrário dos restantes títulos do sector bancário, encerrou a ganhar 3,41 por cento.",expl
"Movimentaram-se cerca de 285 mil títulos, com a cotação de fecho a situar-se nos 4359 escudos.",expl
«Alguma coisa se passa à volta deste papel.,expl
"Em Janeiro de 1994, noticiava-se a introdução na Alemanha de um supercomputador que regista as impressões digitais dos candidatos a asilo político, para tentar detectar fraudes nos subsídios da segurança social.",nsubj
"Agora, a polícia inclina-se para que o assassinato tenha a ver com a promoção de John Gotti Junior ao cargo de chefe da família durante o encarceramento do pai.",obj
"Eduardo dos Santos, presidente do MPLA, e Jonas Savimbi, dirigente da Unita, encontram-se na cidade do Bié em actividades ligadas à campanha eleitoral de Setembro",obj
"Bush só poderá ganhar as eleições presidenciais se fizer cair Saddam Hussein, vaticinam os analistas políticos.",mark
O Presidente cancela todos os compromissos e fecha-se na Casa Branca.,obj
"Na mesma ocasião iniciaram-se investigações que incidiram sobre o árbitro madeirense Marques da Silva, também ele suspeito de se ter deixado corromper.",expl
"Quando Guímaro foi detido, na sequência de um processo desencadeado com base em denúncias anónimas feitas para a Federação Portuguesa de Futebol e Polícia Judiciária, desde logo se levantou uma questão:",nsubj
"se Guímaro era corrupto, quem eram os corruptores e porque motivo não foram igualmente presentes ao juiz do Tribunal de Instrução Criminal?",mark
"que jogos, que programas, que enciclopédias, que 'sites' na Internet se podem fazer que traduzam o título do 'workshop'?»",expl
"Poder-se-á tocar na realidade virtual, embora seja um objectivo a longo prazo.",nsubj
"Mas é essa a ideia: para já promover este encontro, reunir ideias, depois se resultar material começar a incorporá-lo e dar forma a um 'site' que tem sede simbólica em Sagres.»",mark
"Nos últimos dias o ritmo tornou-se frenético, «manipularam-se mais de uma centena de documentos e mapas», garante de la Peña.",expl
No quiosque vendem-se dessas revistas de viagens que agora proliferam e que perpetuam as fantasias sobre ilhas exóticas.,expl
"A cimeira sindical ibérica já não deverá realizar-se este ano, segundo apurou o PÚBLICO.",expl
"Na Europa Ocidental tem-se assistido a uma queda acentuada da fecundidade, o que fez surgir o problema da não substituição das gerações.",nsubj
"O exemplo paradigmático é «Say hello and Wave Goodbye», cujo primeiro «clip» consistia numa verdadeira orgia de excessos e que agora é substituído por um teledisco de um romantismo asseado repleto de modelos em câmara lenta, que mais se tende a ligar aos «dessexuados» Black ou Don Henley.",nsubj
"Em troca, assinava-se o contrato-promessa de compra e venda.",nsubj
"E Constantino perguntou-lhe se ele estava a brincar, pois não lhe ia dar procuração nenhuma enquanto não recebesse a sua parte, ao que Manuel, (se ninguém no tribunal mentiu neste aspecto), lhe replicou que já tinha dado os 1095 contos a Deolinda e eles que dividissem a soma entre os dois.",mark
"Entre as propostas mais ousadas, decidiu-se pedir ao Presidente da República que proponha um referendo sobre a Lei do Financiamento, desafiar as televisões a promoverem um debate entre o ministro da Educação e todos os dirigentes associativos, pintar de negro a sede da Direcção Regional de Educação do Centro e remeter envelopes com folhas de papel higiénico ao ministério.",nsubj
"E não seria mais útil que o dr. Soares que, enquanto primeiro-ministro, deixou a educação no caos que se conhece, dirigisse mensagens a lançar o debate sobre o que há a reformar no ensino, em vez de passar a vida a exigir uma televisão tão livre que Eduardo Moniz tenha liberdade para criticar toda a gente excepto .. o dr. Soares?",nsubj
"... E, se o dr. Soares tivesse praticado desporto na escola, será que, hoje, pensaria da mesma maneira?",mark
"Mas, para já ainda nem sequer é certo que vá ser construída uma nova fábrica, por isso não se pode falar no projecto VW para Portugal.»",nsubj
"Para o ministro, a decisão deverá ser tomada em meados de 1993 e, se a escolha recair sobre Portugal, essa será «uma boa altura» em termos de incentivos.",mark
"A Rússia, insensível aos protestos dos EUA e de Israel, já se tinha comprometido, no início do ano, a instalar naquele mesmo local um reactor de 1000 megawatts, num negócio avaliado em mil milhões de dólares.",obj
"Os New York Knicks venceram terça-feira no seu reduto os Chicago Bulls, por 96-91, passando a liderar, por 2-0, a final da Conferência Leste da Liga Norte-Americana de Basquetebol Profissional (NBA), que se disputa à melhor de sete encontros.",expl
"O grupo de fotógrafos participantes encontra-se para um confronto pela diversidade não só de estilos, como de opções relativamente à construção de uma ideia da cidade.",obj
"as imagens são criadas a partir de retratos (photomaton familiar), de imagens de barcos, recriando-se em cada uma um clima aquático, primordial, mas sem que esse efeito se compatibilize com uma leitura imediatista da imagem --",expl
"Dentro da política de racionalização de estruturas, a PT pretende ainda baixar para quatro milhões de contos o valor das existências em armazém (encontra-se em sete milhões, contra os 11 milhões que se atingiam em Maio) e alienar 40 imóveis espalhados pelo país.",expl
"Na hora de defrontar o Sporting, o Famalicão pode finalmente respirar aliviado com a notícia do regresso dos seus dois jogadores argelinos, Medane e Menad, que se ausentaram para disputar a Taça de Africa.",expl
"Com o regresso de Medane e Menad, o treinador jugoslavo do Famalicão tem à sua disposição todos os jogadores, com excepção do jovem Manuel José, que se encontra lesionado.",expl
"As personagens são cegos, atrozes e desconcertantes como nas fotografias de Sander, porque os cegos são pessoas que se dirigem incessantemente para um lugar interminável de onde não podem sair e onde nós nos sentimos gratos por não podermos entrar.",expl
"O livro depois mudou, e os cegos tornaram-se personagens passionais, e obscenas na sua violência, esse livro depois de escrito continha tudo, o infinito, a transparência, o medo, as imagens do escuro, continha uma criança cega que não admitia não ver e inventava, e Josette que torturava ratos, uma mulher casada, um marido e um amante, e depois havia uma vingança.",obj
Apaixonou-se por um cego que não era aluno dele.,obj
Também se tornou amigo do empregado da loja onde os cegos iam buscar vídeos.,expl
É neste contexto que entre a indústria e a Direcção-Geral da Qualidade do Ambiente [DGQA] nunca se interromperam os contactos técnicos necessários à atempada informação sobre a evolução verificada no cumprimento do contrato-programa e que permitirão a continuação de uma abordagem responsável da questão para futuro.,expl
"No que se refere às regras do jogo, considera que o futebol deve continuar a ser futebol.",fixed
"Não pondo em causa o direito dos clínicos de exigirem melhores condições remuneratórias e de trabalho, Maria Belém lembrou que, para se pedir mais dinheiro, «temos de mostrar que fazemos mais e melhor».",nsubj
"Portugal encontra-se hoje mergulhado numa crise que parece ter-se instalado predominantemente na Europa, mas afecta toda a humanidade.",expl
"Uma das mais prometedoras cantoras dos últimos anos, Cassandra usa um grão de voz e um jeito de desenhar e se apropriar do verso que tem raízes em Carmen McRae.",expl
"Nascida no seio da estética M-Base, de que se tornou a única porta-voz vocal, à medida que foi avançando mar adentro, Cassandra soube libertar-se do lastro que lhe ajudou a voz a crescer mas que ameaçava paralisá-la.",obj
"No dia em que Wilson inventar o tempo & o modo de combinar a tradição (de que se tem aproximado progressivamente, como o mostra, de forma exemplar, o álbum «Blue Skies») com os novos sons que lhe adubaram a voz (do rap e hip-hop à inquietação experimental vivida ao lado de Steve Coleman), uma nova porta se abrirá ao jazz vocal.",expl
Parte-se depois para o debate.,nsubj
"E Carlos Narciso junta a sua voz à daqueles que se surpreendem com o facto de Domingos Pereira, condenado a 15 anos pela morte da mulher, ter cumprido apenas seis.",expl
"mas poderá concretizar-se mais depressa do que a sua antepassada, e, sendo distribuída e partilhada, a sua sobrevivência estará mais garantida.»",expl
"José Eduardo dos Santos e Jonas Savimbi reúnem-se em Libreville, concordando que um Governo de Unidade e Reconciliação esteja formado até Junho ou Julho.",obj
"Nos últimos meses ainda conseguiu escapar-se e ver «Eu, Feuerbach», pelo Cendrev, em Évora, e «A Ópera do Malandro», pelo Seiva Troupe, no Porto.",obj
"A Grã-Bretanha pediu na segunda-feira à Comunidade Europeia que fosse banido um açúcar artificial usado na produção de refrigerantes, revelaram fontes diplomáticas comunitárias e industriais citadas pela Reuter.",aux:pass
"Os britânicos advogam que a substânca em questão, o ciclamato -- 30 vezes mais doce do que o açúcar -- não é seguro para o ser humano e ameaçam vetar uma lei sobre a segurança alimentar, que os ministros do comércio da CEE estão a discutir, se o produto não for proibido.",mark
"Domingos não se tem em si de contentamento, não quer acreditar no que se está a passar.",expl
"Abraça-se ao irmão, que ficou em 8º lugar.",obj
"«Ganhei a medalha de prata», diz-lhe ofegante, mas logo se recusa a acreditar na realidade.",expl
"Só quando Moniz Pereira lhe surge na frente, se compenetra de que era mesmo verdade.",expl
"Metade do Orçamento destina-se a despesas correntes, suscitando criticas da oposição, que as consideram exageradas, nomeadamente as despesas com pessoal (mais de um milhão de contos).",expl
"Para o presidente Carlos de Sousa, trata-se de um orçamento «típico de um concelho rural e pobre com poucas receitas».",expl
"«se Maomé não vai à montanha, a montanha vai a Maomé».",mark
"Sabendo antecipadamente o grau hierárquico da personalidade que vai actuar, fazem-se representar em conformidade.",expl
"No entanto, no Ministério da Defesa não há grandes preocupações quanto à funcionalidade da gestão se houver vacatura com a provável saída de Nogueira.",mark
"A estação de Carnaxide tem um prazo de 48 horas para responder, devendo a CNE na sua próxima reunião tomar uma decisão, que, se for desfavorável à SIC, lhe poderá custar uma coima entre os mil e 10 mil escudos.",mark
"A AIE-Guaraldi, da Reppublica di San Marino chancelou este livro que se deixa inquietar com o desaparecimento da Ilha de Moçambique.",expl
"O deputado social-democrata Carlos Coelho, por exemplo, até já se deu ao trabalho de comparar os dois documentos, apenas para provar que há «inúmeras citações literais» do diploma no articulado do pacto, que assim se transforma «num repositório de ideias globais, que não acrescenta nada ao que a lei de bases e a Constituição portuguesa preconizam».",expl
"A forma como todo o processo tem vindo a ser encaminhado é, aliás, susceptível de «gerar expectativas perversas», porque é «na forma como as coisas irão ser levadas à prática que as pessoas se dividem».",obj
"Assim se definem os Requiem, ex-Requiem pelos Vivos, que após quase cinco anos de ausência dos estúdios regressam em Outubro com um novo álbum e uma mão-cheia de espectáculos.",expl
"Não havia cruzamento, não se tratou de uma tentativa de ultrapassagem, nem sequer de uma travagem brusca.",expl
"Sabe-se lá até onde poderia ter ido, deslizando pelo piso molhado da Rua das Flores.",nsubj
"O incrédulo automobilista, por não ter interlocutor, achou por bem chamar a polícia e relatar-lhe como tudo se passou.",expl
Se não se incomodarem um ao outro é porque há condições para partir para a fase seguinte.,expl
Que também não se sabe ainda qual é.,nsubj
"Os «Fados d'Aquém e d'Além-Mar» que João Braga concebeu para o Centro Cultural de Belém traduziram-se numa exibição confrangedora de equívocos e falta de preparação onde couberam amigos, muito Fernando Pessoa, uma boa voz, de Rita Guerra, e uma anedota brasileira de mau-gosto.",expl
O defesa português Hélder estreou-se no campeonato espanhol e encontrou logo pela frente um seu velho conhecido: o ex-sportinguista Amunike.,obj
"Bateu-se bem, ganhou-lhes muitos lances e anulou o flanco esquerdo do ataque dos visitantes, mas acabou por ver o remate decisivo da partida tabelar no seu corpo antes de a bola chegar às redes.",obj
"Esteve bem, tendo em conta que era a sua estreia, que jogou fora da sua posição e o adversário se chamava Barcelona.»",obj
"Pelo caminho, tinha repudiado uma insinuação de Damásio, que, no seu discurso, se referiu à sua comissão como sendo constituída por «críticos ou opositores da actual direcção».",expl
J.S.R. -- Uma das condições fundamentais para se criar outros gostos nas pessoas são os concertos.,nsubj
"Em Itália os treinadores recusaram os jogos à segunda-feira, que as televisões queriam impôr, em Espanha também haverá jogos só de sexta a domingo, e em lado nenhum se foi tão longe como em Portugal dividindo as jornadas por quatro dias.",nsubj
"Há razões técnicas e também de «marketing», porque o público nunca sabe a que dia joga a sua equipa e a percepção do que se vai passando, para o público em geral, também não é a mesma.",expl
"Tratando-se de matérias muito inflamáveis -- não é possível retirar integralmente a gordura no processo de transformação --, há que evitar o risco de combustão no momento de entrada no forno (a laborar a alta temperatura), que poderia atingir o próprio operador.",expl
"Por isso, as embalagens serão incineradas de forma diferente do habitual, recorrendo-se a um dispositivo que permitirá «puxar» a farinha e lançá-la «por cima», em completa segurança, para dentro do forno.",nsubj
Os custos desta pesada estrutura tornaram-se insuportáveis para o país.,obj
anunciava-se uma corrida de touros para o Campo Pequeno em homenagem aos valorosos corredores;,nsubj
"Quando me convenci que todos os esforços para tomar o aquartelamento se haviam tornado perfeitamente fúteis, comecei a retirar os nossos homens em grupos de oito e dez.",expl
"Não podíamos descer, e eles não se atreviam a subir.",expl
Alguns conseguiram descer através das linhas do Exército; outros foram escoltados por Monsenhor Pérez Serantes [ arcebispo de Santiago de Cuba ] a fim de se renderem.,obj
"Entre os episódios mais importantes a transmitir, além da entrevista com Giacometti, destaque-se aquele em que se fala da arte de Modigliani, mais ou menos a meio da exibição (nem sempre a ordem é respeitada pela RTP).",nsubj
"Fala-se da sua vida: do alcoolismo, do desespero; também do «charme», da sua gentileza.",nsubj
Os parlamentos da federação croato-muçulmana e dos sérvios bósnios vão hoje pronunciar-se sobre o novo plano de paz internacional para a república.,obj
"Segundo responsáveis do clube aveirense, Mike Smith apresentou-se em deficientes condições físicas e sem ritmo competitivo.",obj
"Tendo como objectivo intrometer-se na luta pelo título, o Beira Mar disporá, para a nova temporada, de um orçamento a rondar os 40 mil contos, verba substancialmente inferior à da época passada.",obj
"Na sua globalidade, as respostas alimentam, apesar de tudo, um certo optimismo entre os que se interessam pela sorte dos bichos.",expl
E a grande dúvida é se as suspeitas da agressão à sua rival serão um «handicap» ou uma motivação.,mark
Revelam a missão perigosa dos homens das 27 equipas de bombeiros enviadas para o «inferno» que os iraquianos atearam em 788 poços de petróleo quando se retiraram do Kuwait e que permitiram ao fotógrafo brasileiro concluir o seu «portfolio» sobre o homem e o trabalho.,expl
"Futebol -- Transmissão directa da cerimónia de abertura do «Mundial de Juniores», que se realiza no Estádio das Antas, no Porto.",expl
"Se assim é, porque morreu a imprensa comunista, como o «Diário», porque se afastaram do Partido todos os jornalistas comunistas que trabalhavam em outros órgãos de informação?",expl
"Mais de mil casais tinham-se oferecido, até quinta-feira à noite, para recolher provisoriamente refugiados, sobretudo crianças.",expl
"A justificação, para muitos analistas, pode procurar-se na frase de alívio de Murayama após o seu copo de «saké».",expl
A impopularidade pessoal e do seu executivo tornara-se demasiada.,obj
"E a portar-se à Cintra, não dando cavaco, sequer, ao jogador, que até já vendera a casa lá na Old England.",obj
"O corpo humano (na sua realidade física) tornou-se suporte -- ou, se quisermos, a própria matéria-prima da obra de arte.",mark
"Chamaram-se a si mesmos «actionistas», embora o movimento, que se espalhou largamente até aos anos 70, seja designado globalmente por «body art», ou surja nos textos de Bowie como «arte ritual».",expl
"Debate-se agora se terá sido oportuno ou nefasto o reconhecimento internacional da Croácia e houve quem recordasse que a guerra servo-croata já estava em curso em 1991, antes desse reconhecimento.",mark
"O mesmo não se passa na Bósnia, onde as etnias convivem ao simples nível da coabitação.",expl
"Por isso, constituiu um erro reconhecer a Croácia sem antes ter preparado uma solução viável para a Bósnia, e não há paixão ideológica capaz de o apagar, se bem que seja inútil dramatizar um erro de natureza diplomática.",mark
"Os reféns, um homem e um casal, encontravam-se a cerca de 60 quilómetros a norte de Frankfurt.",obj
"Após uma perseguição de mil quilómetros através do país, a polícia a distribuíu-se pela autoestrada entre Hofheim e Wiesbade.",expl
"Os agentes decidiram dar vantagem aos raptores por estes terem ameaçado suicidar-se com os reféns fazendo explodir uma granada, caso a polícia os seguisse a curta distância.",advcl
"Os dois criminosos, um antigo soldado de elite do exército da Alemanha de Leste de 32 anos, e um suíço de 35, evadiram-se, há três semanas, de uma prisão de Hamburgo, acusados de homicídio e assalto à mão armada.",obj
"Segundo as autoridades, «não está excluída a possibilidade de que os raptores se dirijam para França».",expl
"m Janeiro de 1994, os «três Guys» -- Guy Spitaels, ministro-presidente da Valónia, Guy Coeme, ministro da Defesa, e Guy Mathot, ministro regional -- foram forçados a demitir-se para assegurar a sua defesa depois de a sua imunidade parlamentar ter sido suspensa.",obj
"Os mineiros estão dispostos a manifestar-se na sede do concelho em solidariedade com o seu camarada, ao mesmo tempo que está a ser preparado um abaixo-assinado.",obj
"Sempre quero ver se têm prisões que cheguem para lá meter dentro 500 mineiros!», diz Manuel Vasconcelos.",mark
"«Ainda se considera, pela última vez, ser desnecessária a prisão», dita o juiz para o escrivão, convertendo os cinco meses na penitenciária em 45 mil escudos de multa, ou, em alternativa, em cem dias de detenção.",nsubj
"Atende-se, também, à «situação económica do arguido» e autoriza-se o pagamento da multa em dez prestações.",nsubj
"Se for a bem, tudo bem; se for a mal, arranja-se aí um '31' que só o tribunal resolve.",expl
"«Mas se a alternativa for a estrada, não é possível».",mark
"«Constata-se que nem sempre, na altura própria, os munícipes dão atenção aos editais.",nsubj
"Foi apenas recebido um fax da CHEM a mandar parar as obras, mas não se pode retomar o PREC numa situação desta natureza».",nsubj
"As medidas, anunciadas pelos ministros da Economia, Johannes Ditz (conservador), e das Finanças, Viktor Klima (social-democrata), numa conferência de imprensa comum, destinam-se a assegurar o cumprimento dos critérios de convergência, assegurando que a Aústria possa entrar no primeiro comboio da União Económica e Monetária.",expl
"A deputada não decidiu ainda, contudo, se se vai abster ou votar a favor do texto de Strecht Monteiro, mas assume claramente que considera o projecto «pró-natalista» e «vem corrigir a lei em vigor», pelo que «merece simpatia».",expl
"Devido à acção de Ames, explicou o actual director da CIA, foi muito mais difícil para os EUA compreender o que se passava na URSS durante aquele período crítico, porque ele denunciou aos soviéticos muitos agentes que trabalhavam para os serviços americanos.",expl
"Depois de Cantanhede, a formação apresenta-se hoje em Vila Real, no sábado no Porto e na próxima quinta-feira em Tomar (ver págs. 10/11 deste Fim de Semana).",obj
"Entre os variadíssimos patrocinadores destes concertos, encontram-se, entre outras empresas e instituições financeiras, a Rodoviária Nacional, Portucel, Shell Portuguesa, Sonae, Banco Totta & Açores e Montepio Geral.",obj
"Entre os concertos previstos para Novembro, destaca-se o de dia 3, no Palácio Nacional de Queluz, quando a orquestra acompanhar o pianista Sequeira Costa, que interpretará o concerto nº 1, opus 11, de Chopin, com o patrocínio da GALP.",expl
"À sua poluição deve-se ainda o desaparecimento dos famosos bivalves negros da «Mexelhoeira», uma zona de rochas entre as praias da Areia Branca e do Peralta.",expl
A Câmara Municipal aponta os complicados processos burocráticos como os grandes entraves para que tudo se concretize uma vez que a maioria dos apoios financeiros já estará garantida.,expl
"A ajuda humanitária, que finalmente recomeçou a mover-se em direcção à Bósnia central, pode revelar-se uma arma de dois gumes.",obj
"Acabará com o desleixo e a degradação do parque actualmente existente, que não tem cuidados de jardinagem há muito tempo e que poderá transformar-se em poiso de marginais e toxicodependentes.",expl
"Abílio Lourenço, da Comissão de Luta dos Professores de Educação Tecnológica (Colpet), lembra que a anterior tutela se limitou a reconverter os professores de Trabalhos Oficinais em professores de Educação Tecnológica, sem lhes dar qualquer tipo de formação.",expl
"Como resultado, quando têm alunos, estes docentes limitam-se a leccionar aquilo que leccionavam antes da reestruturação:",expl
"Percebe-se que a grande massa de gente está ali mais ou menos como o Padrão dos Descobrimentos: para proporcionar à SIC o seu «show» de ilusão, a ideia de que uma multidão entusiástica rodeia o palco, o que serve às mil-maravilhas os primeiros planos das câmaras.",nsubj
As coisas animam-se decididamente com «Crocodile rock» de Elton John.,obj
"Os cantores sucedem-se, Miguel Ângelo já pula, por momentos dança à Elvis e põe o concorrente a dançar.",expl
"É esta a expectativa assumida pelo presidente da Câmara de Valongo, Fernando Melo, empenhado em abrir aos ermesindenses a primeira fase deste novo equipamento de passeio e lazer antes que se escoe o presente mandato autárquico.",expl
"Como o PÚBLICO pôde constatar no local, a ideia é transformar, nesse curto espaço de tempo, um terreno que ainda se encontra revolvido e enlameado numa área relvada cruzada por passeios e estadias.",expl
"A discussão centrar-se-á em três grandes painéis: a edição na sociedade europeia de informação, a dimensão cultural no Tratado da União Europeia e o mercado do livro na Europa: problemas de comercialização (preço fixo).",expl
"R. -- No teatro tenta-se encontrar a unidade do espectáculo, cria-se um tempo, e não um momento -- cria-se um tempo fora do tempo.",nsubj
"No cinema, essencialmente o que se apanha é o momento de qualquer coisa.",nsubj
"Devido a o lado fraccionado do cinema, trabalha-se momento a momento e um momento pode ser reduzido a três segundos de expressão, de emoção de vontade--",nsubj
"Se outros já por lá andavam, fugidos à ira faraónica, é a partir de então que a zona começa o seu «boom», tornando-se, em poucos anos, a capital dos sonhos.",obj
Desde logo se manifestou a habilidade do «regisseur» controlando mais de um filme em simultâneo.,expl
"Aos saltimbancos, bombos e gigantones juntar-se-ão, ao longo dos vários dias de festa, a música, o malabarismo, animações de fogo, teatro e fantoches.",obj
"Não se construiu um mundo diferente para cada um dos seus temas, em estúdio.",nsubj
"Mas, com a normal tendência para a redução da realidade, passou-se a falar não apenas na «Escola do Porto», conceito com origem numa falácia regionalista já muito afastada, mas numa já mesquinha e inexistente «Escola do Siza».",nsubj
"A arquitectura de Siza Vieira não o permite, talvez porque em todo o lado seja próprio da liderança cultural, o não se submeter às regras que ela própria cria.",expl
"Como estilo que nunca se chega a definir, como caminho que está sempre interminado, a «obra do mestre» é mais a permanente inflexão que a coerência inabalável.",expl
"Trata-se da aliança entre a Adobe, a mais importante empresa no ramo da concepção de produtos para edição electrónica e a Netscape, que em seis meses capturou 75 por cento do mercado de programas de navegação na Internet com o produto que lhe deu o nome.",expl
"No âmbito do Ciclo Jovens Compositores, organizado pelo Acarte da Fundação Gulbenkian, pode escutar-se a obra «...Há Dois Ou...», de António de Sousa Dias.",nsubj
"A atleta e o seu técnico, João Campos, elegeram a corrida de 10.000m como um meio de ela se sagrar campeã olímpica.",expl
"«Apesar de ser a recordista mundial dos 5000m, é nos 10.000m que a Fernanda se exprime melhor», considera Campos.",expl
"Fernanda Ribeiro não se aterroriza sequer com as condições climatéricas que, decerto, irá encontrar -- muito calor e humidade.",expl
A [ sul-africana ] Meyer não sei se escolherá os 10.000m ou a maratona e as chinesas apresentam altos e baixos e nunca repetiram as marcas de 1993.»,mark
"Ambas as versões se baseiam no mesmo «núcleo de código», como lhe chama a Microsoft -- embora pareça que este núcleo tenha mais a ver com a versão Macintosh que com a de Windows:",expl
"O WordPerfect, por seu lado, ao passar de 5.2 para 6 tornou-se praticamente num novo produto.",expl
A grande questão é saber se havia alguma coisa antes daquilo que chamamos o Big Bang ou se saltámos do nada para o algo.»,mark
"O escudo esteve bastante pressionado, devido sobretudo a vendas especulativas por parte de bancos estrangeiros, e as frequentes intervenções do Banco de Portugal apresentaram-se eficazes, quebrando a tendência de queda, por vezes acentuada, da divisa nacional.",obj
A peseta manteve-se no topo do mecanismo de taxas de câmbio do SME,obj
P. -- As suas filhas compreendem o que se passou em Maio 68?,expl
"Partiram para um El Dorado, deparam-se agora com a perspectiva de uma reforma antecipada ou do desemprego forçado.",obj
"Não é de estranhar, porque entre os comensais reunidos no dia 29 de Agosto em casa do romancista norte-americano William Styron, prémio Pulitzer, em Martha's Vineyard, uma ilha ao sul de Boston, Massachusetts, não se encontrava apenas o Presidente dos Estados Unidos, mas sobretudo esses dois grandes obcecados dos livros que são o Nobel colombiano Gabriel García Márquez e o mexicano Carlos Fuentes, último prémio Príncipe das Astúrias de Literatura.",expl
"Toda a gente acreditou que essa reunião, realizada em plena crise dos «balseros» cubanos, tinha sido programada para falar da nova crise aberta entre Cuba e os Estados Unidos e, dada a personalidade dos convivas -- García Márquez tem uma relação estreita com Castro e Fuentes defende o fim do embargo norte-americano para que se inicie uma nova etapa no longo contencioso da ilha caraíba com o seu poderoso vizinho --, deu-se como ponto assente que Cuba tinha de ter sido «o» assunto.",expl:pass
"O carro atravessou-se, primeiro para a direita e depois para a esquerda, o que me levou a tirar o pé do acelerador.",obj
"O carro alemão teimou em não se adaptar ao traçado do circuito, o que deixou Chaves algo desalentado, até porque experimentava em Barcelona algumas novidades aerodinâmicas que deveriam melhorar as «performances» do seu carro.",expl
"Também por isso, na FPJ pensa-se já em Sydney.",nsubj
E espera-se o mesmo de sempre.,nsubj
